stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
place-FB-0143-0,place-FB-0143-0,platform 0,,,,42.196857,-71.196688,CR-zone-3,,,,0,place-FB-0143,1,Norwood,,,2
place-FB-0143-1,place-FB-0143-1,platform 1,,,,42.196857,-71.196688,CR-zone-3,,,,0,place-FB-0143,1,Norwood,,,2
32681-parent,32681-parent,Sea St @ Parkhurst St,,,,42.268425,-70.95475,LocalBus,,,,1,,0,Quincy,Sea Street,Parkhurst Street,3
32681,32681,Sea St @ Parkhurst St,,,,42.268425,-70.95475,LocalBus,,,,0,32681-parent,0,Quincy,Sea Street,Parkhurst Street,3
2340-parent,2340-parent,Blanchard Rd @ Merrill Ave,,,,42.391796,-71.157577,LocalBus,,,,1,,1,Cambridge,Blanchard Road,Merrill Avenue,3
2340,2340,Blanchard Rd @ Merrill Ave,,,,42.391796,-71.157577,LocalBus,,,,0,2340-parent,1,Cambridge,Blanchard Road,Merrill Avenue,3
3199-parent,3199-parent,Adams St opp Alleyne St,,,,42.255884,-71.008922,LocalBus,,,,1,,1,Quincy,Adams Street,Alleyne Street,3
3199,3199,Adams St opp Alleyne St,,,,42.255884,-71.008922,LocalBus,,,,0,3199-parent,1,Quincy,Adams Street,Alleyne Street,3
5968-parent,5968-parent,377 Washington St,,,,42.43999,-71.07153,LocalBus,,,,1,,1,Malden,Washington Street,,3
5968,5968,377 Washington St,,,,42.43999,-71.07153,LocalBus,,,,0,5968-parent,1,Malden,Washington Street,,3
8270-parent,8270-parent,Mystic St @ Falmouth Rd,,,,42.428849,-71.153132,LocalBus,,,,1,,1,Arlington,Mystic Street,Mystic View Terrace,3
8270,8270,Mystic St @ Falmouth Rd,,,,42.428849,-71.153132,LocalBus,,,,0,8270-parent,1,Arlington,Mystic Street,Mystic View Terrace,3
4482-parent,4482-parent,Western Ave @ Chestnut St,,,,42.477267,-70.948921,LocalBus,,,,1,,1,Lynn,Western Avenue,Chestnut Street,3
4482,4482,Western Ave @ Chestnut St,,,,42.477267,-70.948921,LocalBus,,,,0,4482-parent,1,Lynn,Western Avenue,Chestnut Street,3
2454-parent,2454-parent,Beacon St @ Calvin St,,,,42.377265,-71.105076,LocalBus,,,,1,,1,Somerville,Beacon Street,Smith Avenue,3
2454,2454,Beacon St @ Calvin St,,,,42.377265,-71.105076,LocalBus,,,,0,2454-parent,1,Somerville,Beacon Street,Smith Avenue,3
1473-parent,1473-parent,Bowdoin St @ Quincy St,,,,42.308395,-71.064656,LocalBus,,,,1,,1,Boston,Bowdoin Street,Hendry Street,3
1473,1473,Bowdoin St @ Quincy St,,,,42.308395,-71.064656,LocalBus,,,,0,1473-parent,1,Boston,Bowdoin Street,Hendry Street,3
28743-parent,28743-parent,Grand Union Blvd @ Foley St,,,,42.392206,-71.080411,LocalBus,,,,1,,1,Somerville,Grand Union Boulevard,,3
28743,28743,Grand Union Blvd @ Foley St,,,,42.392206,-71.080411,LocalBus,,,,0,28743-parent,1,Somerville,Grand Union Boulevard,,3
36479-parent,36479-parent,Hyde Park Ave @ Southbourne Rd,,,,42.289719,-71.118046,LocalBus,,,,1,,1,Boston,Hyde Park Avenue,Southbourne Road,3
36479,36479,Hyde Park Ave @ Southbourne Rd,,,,42.289719,-71.118046,LocalBus,,,,0,36479-parent,1,Boston,Hyde Park Avenue,Southbourne Road,3
1067-parent,1067-parent,Western Ave opp Genzyme,,,,42.364074,-71.119704,LocalBus,,,,1,,1,Boston,Western Avenue,,3
1067,1067,Western Ave opp Genzyme,,,,42.364074,-71.119704,LocalBus,,,,0,1067-parent,1,Boston,Western Avenue,,3
1845-parent,1845-parent,Weld St @ Manthorne Rd,,,,42.292867,-71.154376,LocalBus,,,,1,,1,Boston,Weld Street,Manthorne Road,3
1845,1845,Weld St @ Manthorne Rd,,,,42.292867,-71.154376,LocalBus,,,,0,1845-parent,1,Boston,Weld Street,Manthorne Road,3
2904-parent,2904-parent,Columbia Rd @ Wolcott St,,,,42.303472,-71.083225,LocalBus,,,,1,,1,Boston,Columbia Road,Wolcott Street,3
2904,2904,Columbia Rd @ Wolcott St,,,,42.303472,-71.083225,LocalBus,,,,0,2904-parent,1,Boston,Columbia Road,Wolcott Street,3
7891-parent,7891-parent,Great Rd @ Roberts Dr,,,,42.487656,-71.266435,LocalBus,,,,1,,1,Bedford,The Great Road,Roberts Drive,3
7891,7891,Great Rd @ Roberts Dr,,,,42.487656,-71.266435,LocalBus,,,,0,7891-parent,1,Bedford,The Great Road,Roberts Drive,3
19031-parent,19031-parent,400 Centre St - West,,,,42.355938,-71.185299,LocalBus,,,,1,,1,Newton,Centre Street,Centre Avenue,3
19031,19031,400 Centre St - West,,,,42.355938,-71.185299,LocalBus,,,,0,19031-parent,1,Newton,Centre Street,Centre Avenue,3
46434-parent,46434-parent,Cummins Hwy @ Hebron St,,,,42.272749,-71.107863,LocalBus,,,,1,,1,Boston,Cummins Highway,Hebron Street,3
46434,46434,Cummins Hwy @ Hebron St,,,,42.272749,-71.107863,LocalBus,,,,0,46434-parent,1,Boston,Cummins Highway,Hebron Street,3
5422-parent,5422-parent,Newland St @ Bryant St,,,,42.422975,-71.050701,LocalBus,,,,1,,1,Malden,Newland Street,Bryant Street,3
5422,5422,Newland St @ Bryant St,,,,42.422975,-71.050701,LocalBus,,,,0,5422-parent,1,Malden,Newland Street,Bryant Street,3
6827-parent,6827-parent,S Common St @ Market St,,,,42.464134,-70.951763,LocalBus,,,,1,,1,Lynn,South Common Street,Market Street,3
6827,6827,S Common St @ Market St,,,,42.464134,-70.951763,LocalBus,,,,0,6827-parent,1,Lynn,South Common Street,Market Street,3
8505-parent,8505-parent,Centre St @ Langley Rd,,,,42.331091,-71.194615,LocalBus,,,,1,,1,Newton,Centre Street,Pelham Street,3
8505,8505,Centre St @ Langley Rd,,,,42.331091,-71.194615,LocalBus,,,,0,8505-parent,1,Newton,Centre Street,Pelham Street,3
620-parent,620-parent,Washington St @ Birchwood St,,,,42.259247,-71.159317,LocalBus,,,,1,,1,Boston,Washington Street,Birchwood Street,3
620,620,Washington St @ Birchwood St,,,,42.259247,-71.159317,LocalBus,,,,0,620-parent,1,Boston,Washington Street,Birchwood Street,3
2660-parent,2660-parent,Highland Ave @ Medford St,,,,42.384648,-71.092778,LocalBus,,,,1,,1,Somerville,Highland Avenue,Hamlet Street,3
2660,2660,Highland Ave @ Medford St,,,,42.384648,-71.092778,LocalBus,,,,0,2660-parent,1,Somerville,Highland Avenue,Hamlet Street,3
3667-parent,3667-parent,North St opp Colasanti Rd,,,,42.233595,-70.944884,LocalBus,,,,1,,1,Weymouth,North Street,Colasanti Road,3
3667,3667,North St opp Colasanti Rd,,,,42.233595,-70.944884,LocalBus,,,,0,3667-parent,1,Weymouth,North Street,Colasanti Road,3
1633-parent,1633-parent,Centre St @ Intervale St,,,,42.236354,-71.013361,LocalBus,,,,1,,1,Quincy,Centre Street,Intervale Street,3
1633,1633,Centre St @ Intervale St,,,,42.236354,-71.013361,LocalBus,,,,0,1633-parent,1,Quincy,Centre Street,Intervale Street,3
7761-parent,7761-parent,Massachusetts Ave opp Forest St,,,,42.449483,-71.234255,LocalBus,,,,1,,1,Lexington,Massachusetts Avenue,Forest Street,3
7761,7761,Massachusetts Ave opp Forest St,,,,42.449483,-71.234255,LocalBus,,,,0,7761-parent,1,Lexington,Massachusetts Avenue,Forest Street,3
5469-parent,5469-parent,Lebanon St @ Marshall Ave,,,,42.440009,-71.048595,LocalBus,,,,1,,1,Malden,Lebanon Street,Marshall Avenue,3
5469,5469,Lebanon St @ Marshall Ave,,,,42.440009,-71.048595,LocalBus,,,,0,5469-parent,1,Malden,Lebanon Street,Marshall Avenue,3
33632-parent,33632-parent,Squantum St @ Antwerp St,,,,42.263827,-71.043104,LocalBus,,,,1,,1,Milton,Squantum Street,Cedar Terrace Street,3
33632,33632,Squantum St @ Antwerp St,,,,42.263827,-71.043104,LocalBus,,,,0,33632-parent,1,Milton,Squantum Street,Cedar Terrace Street,3
7754-parent,7754-parent,High St @ Newton St,,,,42.366603,-71.23077,LocalBus,,,,1,,0,Waltham,High Street,,3
7754,7754,High St @ Newton St,,,,42.366603,-71.23077,LocalBus,,,,0,7754-parent,0,Waltham,High Street,,3
4859-parent,4859-parent,Humphrey St @ Ruby Ave,,,,42.484544,-70.887,LocalBus,,,,1,,1,Marblehead,Humphrey Street,Ruby Avenue,3
4859,4859,Humphrey St @ Ruby Ave,,,,42.484544,-70.887,LocalBus,,,,0,4859-parent,1,Marblehead,Humphrey Street,Ruby Avenue,3
place-GB-0198,place-GB-0198,Montserrat,,,,42.562171,-70.869254,CR-zone-4,,,,1,,1,Beverly,,,
place-GB-0198-0,place-GB-0198-0,platform 0,,,,42.562171,-70.869254,CR-zone-4,,,,0,place-GB-0198,1,Beverly,,,2
place-GB-0198-1,place-GB-0198-1,platform 1,,,,42.562171,-70.869254,CR-zone-4,,,,0,place-GB-0198,1,Beverly,,,2
5577-parent,5577-parent,Elm St @ Haskell Ave,,,,42.415556,-71.032918,LocalBus,,,,1,,1,Everett,Elm Street,,3
5577,5577,Elm St @ Haskell Ave,,,,42.415556,-71.032918,LocalBus,,,,0,5577-parent,1,Everett,Elm Street,,3
6846-parent,6846-parent,Eastern Ave @ Clark St,,,,42.478815,-70.933104,LocalBus,,,,1,,1,Lynn,Eastern Avenue,Clark Street,3
6846,6846,Eastern Ave @ Clark St,,,,42.478815,-70.933104,LocalBus,,,,0,6846-parent,1,Lynn,Eastern Avenue,Clark Street,3
494-parent,494-parent,Gallivan Blvd @ Washington St,,,,42.278512,-71.070513,LocalBus,,,,1,,1,Boston,Gallivan Boulevard,Washington Street,3
494,494,Gallivan Blvd @ Washington St,,,,42.278512,-71.070513,LocalBus,,,,0,494-parent,1,Boston,Gallivan Boulevard,Washington Street,3
3468-parent,3468-parent,316 Adams St,,,,42.261496,-71.058138,LocalBus,,,,1,,1,Milton,Adams Street,Unnamed Road,3
3468,3468,316 Adams St,,,,42.261496,-71.058138,LocalBus,,,,0,3468-parent,1,Milton,Adams Street,Unnamed Road,3
3148-parent,3148-parent,Bellevue Rd @ Standish Rd,,,,42.300043,-71.011541,LocalBus,,,,1,,0,Quincy,Bellevue Road,Trevore Street,3
3148,3148,Bellevue Rd @ Standish Rd,,,,42.300043,-71.011541,LocalBus,,,,0,3148-parent,0,Quincy,Bellevue Road,Trevore Street,3
3684-parent,3684-parent,Water St @ Commercial St,,,,42.214575,-70.923632,LocalBus,,,,1,,1,Weymouth,Water Street,,3
3684,3684,Water St @ Commercial St,,,,42.214575,-70.923632,LocalBus,,,,0,3684-parent,1,Weymouth,Water Street,,3
2761-parent,2761-parent,Washington St @ Tufts St,,,,42.381038,-71.087483,LocalBus,,,,1,,1,Somerville,Washington Street,Tufts Street,3
2761,2761,Washington St @ Tufts St,,,,42.381038,-71.087483,LocalBus,,,,0,2761-parent,1,Somerville,Washington Street,Tufts Street,3
7314-parent,7314-parent,Chestnut St opp Chestnut Ave,,,,42.472103,-70.939833,LocalBus,,,,1,,1,Lynn,Chestnut Street,Chestnut Avenue,3
7314,7314,Chestnut St opp Chestnut Ave,,,,42.472103,-70.939833,LocalBus,,,,0,7314-parent,1,Lynn,Chestnut Street,Chestnut Avenue,3
1684-parent,1684-parent,Cambridge Rd opp Revere Rd,,,,42.470559,-71.180056,LocalBus,,,,1,,1,Woburn,Cambridge Street,Revere Road,3
1684,1684,Cambridge Rd opp Revere Rd,,,,42.470559,-71.180056,LocalBus,,,,0,1684-parent,1,Woburn,Cambridge Street,Revere Road,3
71460-parent,71460-parent,Nantasket Ave from T St to Spring St,,,,42.304718,-70.884856,LocalBus,,,,1,,1,Hull,Nantasket Avenue,Fitzpatrick Way,3
71460,71460,Nantasket Ave from T St to Spring St,,,,42.304718,-70.884856,LocalBus,,,,0,71460-parent,1,Hull,Nantasket Avenue,Fitzpatrick Way,3
place-WML-0274,place-WML-0274,Southborough,,,,42.267024,-71.524371,CR-zone-6,,,,1,,1,Southborough,,,
place-WML-0274-0,place-WML-0274-0,platform 0,,,,42.267024,-71.524371,CR-zone-6,,,,0,place-WML-0274,1,Southborough,,,2
place-WML-0274-1,place-WML-0274-1,platform 1,,,,42.267024,-71.524371,CR-zone-6,,,,0,place-WML-0274,1,Southborough,,,2
place-orhte,place-orhte,Orient Heights,,,,42.386867,-71.004736,,,,,1,,1,Boston,,,
place-orhte-0,place-orhte-0,platform 0,,,,42.386867,-71.004736,,,,,0,place-orhte,1,Boston,,,2
place-orhte-1,place-orhte-1,platform 1,,,,42.386867,-71.004736,,,,,0,place-orhte,1,Boston,,,2
70051,70051,Orient Heights,,,,42.386909,-71.004809,RapidTransit,,,level_0_platform,0,place-orhte,1,Boston,,,1
70052,70052,Orient Heights,,,,42.386842,-71.004767,RapidTransit,,,level_0_platform,0,place-orhte,1,Boston,,,1
6402-parent,6402-parent,17 Pond St,,,,42.250218,-71.117192,LocalBus,,,,1,,1,Boston,Pond Street,Highland Street,3
6402,6402,17 Pond St,,,,42.250218,-71.117192,LocalBus,,,,0,6402-parent,1,Boston,Pond Street,Highland Street,3
70618-parent,70618-parent,272 Washington St,,,,42.25058,-71.170267,LocalBus,,,,1,,1,Dedham,Washington Street,Boston Providence Turnpike,3
70618,70618,272 Washington St,,,,42.25058,-71.170267,LocalBus,,,,0,70618-parent,1,Dedham,Washington Street,Boston Providence Turnpike,3
5665-parent,5665-parent,Bennington St @ Neptune Rd,,,,42.379968,-71.025214,LocalBus,,,,1,,1,Boston,Bennington Street,Neptune Road,3
5665,5665,Bennington St @ Neptune Rd,,,,42.379968,-71.025214,LocalBus,,,,0,5665-parent,1,Boston,Bennington Street,Neptune Road,3
8944-parent,8944-parent,Reservation Rd @ Brainard St,,,,42.254309,-71.133823,LocalBus,,,,1,,1,Boston,Reservation Road,Brainard Street,3
8944,8944,Reservation Rd @ Brainard St,,,,42.254309,-71.133823,LocalBus,,,,0,8944-parent,1,Boston,Reservation Road,Brainard Street,3
1752-parent,1752-parent,Heath St @ Parker St,,,,42.326069,-71.100399,LocalBus,,,,1,,1,Boston,Heath Street,Parker Street,3
1752,1752,Heath St @ Parker St,,,,42.326069,-71.100399,LocalBus,,,,0,1752-parent,1,Boston,Heath Street,Parker Street,3
7202-parent,7202-parent,Broadway @ Jeness St,,,,42.489917,-70.958665,LocalBus,,,,1,,1,Lynn,Broadway,Jenness Street,3
7202,7202,Broadway @ Jeness St,,,,42.489917,-70.958665,LocalBus,,,,0,7202-parent,1,Lynn,Broadway,Jenness Street,3
14225-parent,14225-parent,S Main St opp Woodlawn Rd,,,,42.143804,-71.041416,LocalBus,,,,1,,1,Randolph,South Main Street,Woodlawn Road,3
14225,14225,S Main St opp Woodlawn Rd,,,,42.143804,-71.041416,LocalBus,,,,0,14225-parent,1,Randolph,South Main Street,Woodlawn Road,3
49157-parent,49157-parent,61 Locust St,,,,42.407864,-71.093296,LocalBus,,,,1,,1,Medford,Locust Street,,3
49157,49157,61 Locust St,,,,42.407864,-71.093296,LocalBus,,,,0,49157-parent,1,Medford,Locust Street,,3
2064-parent,2064-parent,Mt Auburn St opp Homer Ave,,,,42.374908,-71.147889,LocalBus,,,,1,,1,Cambridge,Mount Auburn Street,Homer Avenue,3
2064,2064,Mt Auburn St opp Homer Ave,,,,42.374908,-71.147889,LocalBus,,,,0,2064-parent,1,Cambridge,Mount Auburn Street,Homer Avenue,3
6152-parent,6152-parent,Essex St @ Stetson Ave,,,,42.480596,-70.915177,LocalBus,,,,1,,1,Swampscott,Essex Street,Stetson Avenue,3
6152,6152,Essex St @ Stetson Ave,,,,42.480596,-70.915177,LocalBus,,,,0,6152-parent,1,Swampscott,Essex Street,Stetson Avenue,3
4881-parent,4881-parent,Paradise Rd opp Andrew Rd,,,,42.472749,-70.918652,LocalBus,,,,1,,1,Swampscott,Paradise Road,Andrew Road,3
4881,4881,Paradise Rd opp Andrew Rd,,,,42.472749,-70.918652,LocalBus,,,,0,4881-parent,1,Swampscott,Paradise Road,Andrew Road,3
1128-parent,1128-parent,South St @ Sedgwick St,,,,42.308588,-71.115487,LocalBus,,,,1,,1,Boston,South Street,Sedgwick Street,3
1128,1128,South St @ Sedgwick St,,,,42.308588,-71.115487,LocalBus,,,,0,1128-parent,1,Boston,South Street,Sedgwick Street,3
5478-parent,5478-parent,Broadway @ Eastern Ave,,,,42.43013,-71.040331,LocalBus,,,,1,,1,Malden,Broadway,Eastern Avenue,3
5478,5478,Broadway @ Eastern Ave,,,,42.43013,-71.040331,LocalBus,,,,0,5478-parent,1,Malden,Broadway,Eastern Avenue,3
9070218-parent,9070218-parent,Saint Paul Street - 1253 Beacon St,,,,42.34282,-71.11804,,,,,1,,1,Brookline,Beacon Street,Saint Paul Street,3
9070218,9070218,Saint Paul Street - 1253 Beacon St,,,,42.34282,-71.11804,,,,,0,9070218-parent,1,Brookline,Beacon Street,Saint Paul Street,3
81561-parent,81561-parent,Walnut St @ Berwick Rd,,,,42.327738,-71.206106,LocalBus,,,,1,,0,Newton,Walnut Street,Fisher Avenue,3
81561,81561,Walnut St @ Berwick Rd,,,,42.327738,-71.206106,LocalBus,,,,0,81561-parent,0,Newton,Walnut Street,Fisher Avenue,3
74981-parent,74981-parent,Beaver St @ Linden St,,,,42.384918,-71.216619,LocalBus,,,,1,,1,Waltham,Beaver Street,Linden Street,3
74981,74981,Beaver St @ Linden St,,,,42.384918,-71.216619,LocalBus,,,,0,74981-parent,1,Waltham,Beaver Street,Linden Street,3
8244-parent,8244-parent,Cambridge Rd @ S Bedford Rd,,,,42.479837,-71.185434,LocalBus,,,,1,,2,Woburn,Cambridge Street,,3
8244,8244,Cambridge Rd @ S Bedford Rd,,,,42.479837,-71.185434,LocalBus,,,,0,8244-parent,2,Woburn,Cambridge Street,,3
5901-parent,5901-parent,Lexington St @ Marion St,,,,42.377947,-71.037013,LocalBus,,,,1,,1,Boston,Lexington Street,Marion Street,3
5901,5901,Lexington St @ Marion St,,,,42.377947,-71.037013,LocalBus,,,,0,5901-parent,1,Boston,Lexington Street,Marion Street,3
6169-parent,6169-parent,Loring Ave @ Raymond Rd,,,,42.5016,-70.894923,LocalBus,,,,1,,1,Salem,Loring Avenue,,3
6169,6169,Loring Ave @ Raymond Rd,,,,42.5016,-70.894923,LocalBus,,,,0,6169-parent,1,Salem,Loring Avenue,,3
9116-parent,9116-parent,Main St opp Hemmingway St,,,,42.462961,-71.143731,LocalBus,,,,1,,1,Winchester,Main Street,Hemingway Street,3
9116,9116,Main St opp Hemmingway St,,,,42.462961,-71.143731,LocalBus,,,,0,9116-parent,1,Winchester,Main Street,Hemingway Street,3
1714-parent,1714-parent,Blue Hill Ave @ Wellington Hill St,,,,42.27986,-71.093154,LocalBus,,,,1,,1,Boston,Blue Hill Avenue,Wellington Hill Street,3
1714,1714,Blue Hill Ave @ Wellington Hill St,,,,42.27986,-71.093154,LocalBus,,,,0,1714-parent,1,Boston,Blue Hill Avenue,Wellington Hill Street,3
7570-parent,7570-parent,Central St @ Assembly Dr,,,,42.456506,-71.009012,LocalBus,,,,1,,1,Saugus,Central Street,Assembly Drive,3
7570,7570,Central St @ Assembly Dr,,,,42.456506,-71.009012,LocalBus,,,,0,7570-parent,1,Saugus,Central Street,Assembly Drive,3
3178-parent,3178-parent,Harvard St @ Wilson Ave,,,,42.265742,-71.034807,LocalBus,,,,1,,1,Quincy,Harvard Street,Wilson Avenue,3
3178,3178,Harvard St @ Wilson Ave,,,,42.265742,-71.034807,LocalBus,,,,0,3178-parent,1,Quincy,Harvard Street,Wilson Avenue,3
1548-parent,1548-parent,Cypress St @ Milton Rd,,,,42.329465,-71.126136,LocalBus,,,,1,,1,Brookline,Cypress Street,East Milton Road,3
1548,1548,Cypress St @ Milton Rd,,,,42.329465,-71.126136,LocalBus,,,,0,1548-parent,1,Brookline,Cypress Street,East Milton Road,3
99991-parent,99991-parent,South St @ Bardwell St,,,,42.308378,-71.115619,LocalBus,,,,1,,1,Boston,South Street,Bardwell Street,3
99991,99991,South St @ Bardwell St,,,,42.308378,-71.115619,LocalBus,,,,0,99991-parent,1,Boston,South Street,Bardwell Street,3
23533-parent,23533-parent,Pleasant St @ Wellington St,,,,42.41339,-71.15572,LocalBus,,,,1,,0,Arlington,Pleasant Street,Wellington Street,3
23533,23533,Pleasant St @ Wellington St,,,,42.41339,-71.15572,LocalBus,,,,0,23533-parent,0,Arlington,Pleasant Street,Wellington Street,3
7631-parent,7631-parent,Washington St @ Walnut St,,,,42.351614,-71.207105,LocalBus,,,,1,,0,Newton,Washington Street,Walnut Street,3
7631,7631,Washington St @ Walnut St,,,,42.351614,-71.207105,LocalBus,,,,0,7631-parent,0,Newton,Washington Street,Walnut Street,3
8503-parent,8503-parent,Cypress St @ Braeland Ave,,,,42.328146,-71.194359,LocalBus,,,,1,,0,Newton,Cypress Street,Braeland Avenue,3
8503,8503,Cypress St @ Braeland Ave,,,,42.328146,-71.194359,LocalBus,,,,0,8503-parent,0,Newton,Cypress Street,Braeland Avenue,3
9142-parent,9142-parent,Main St opp Mountain St,,,,42.51472,-71.160818,LocalBus,,,,1,,1,Woburn,Main Street,Mountain Street,3
9142,9142,Main St opp Mountain St,,,,42.51472,-71.160818,LocalBus,,,,0,9142-parent,1,Woburn,Main Street,Mountain Street,3
1508-parent,1508-parent,Hancock St @ Bowdoin St,,,,42.311094,-71.062621,LocalBus,,,,1,,1,Boston,Hancock Street,,3
1508,1508,Hancock St @ Bowdoin St,,,,42.311094,-71.062621,LocalBus,,,,0,1508-parent,1,Boston,Hancock Street,,3
6357-parent,6357-parent,River St @ Way St,,,,42.256236,-71.12058,LocalBus,,,,1,,1,Boston,River Street,Way Street,3
6357,6357,River St @ Way St,,,,42.256236,-71.12058,LocalBus,,,,0,6357-parent,1,Boston,River Street,Way Street,3
4292-parent,4292-parent,901 N Main St,,,,42.187707,-71.056582,LocalBus,,,,1,,1,Randolph,North Main Street,Forest Street,3
4292,4292,901 N Main St,,,,42.187707,-71.056582,LocalBus,,,,0,4292-parent,1,Randolph,North Main Street,Forest Street,3
